,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop
2022-06-03 14:30:00,1.25656,1.25676,1.25652,1.25656,84,0,0,1.25696,1.25682,1.25667,0.0002,0.0002,0.00019,1.2566,1.25678227086715,1.25678227086715,1.25652,1.0,sell win_3,2022-06-03 15:30:00,1.25648,1.25703,,,,,
2022-06-03 16:21:00,1.25465,1.25465,1.25435,1.25443,117,0,0,1.25546,1.2549,1.25431,0.00033,0.00034,0.00026,1.25452,1.2547131737418626,1.2547131737418626,1.25435,1.0,sell lose,2022-06-03 16:26:00,1.25431,1.25498,,,,,
2022-06-03 17:36:00,1.2547,1.25471,1.2541,1.25412,118,0,0,1.25528,1.25502,1.25485,0.00043,0.00042,0.00034,1.25441,1.2547819967920757,1.2547819967920757,1.2541,1.0,sell win_3,2022-06-03 17:50:00,1.2545899999999999,1.25512,,,,,
2022-06-06 10:48:00,1.2524,1.25277,1.2524,1.25268,46,0,0,1.25136,1.25194,1.25245,0.00036,0.00035,0.00024,1.25256,1.2519392188145435,1.25277,1.2519392188145435,,,,,,1.0,buy win_3,2022-06-06 10:52:00,1.25218,1.25156
2022-06-06 12:38:00,1.25604,1.2562,1.25597,1.25604,75,0,0,1.25478,1.25585,1.25654,0.00031,0.00029,0.00035,1.25606,1.255830881451868,1.2562,1.255830881451868,,,,,,1.0,buy lose,2022-06-06 12:44:00,1.255805,1.25538
2022-06-06 12:46:00,1.25562,1.25589,1.2556,1.25586,45,0,0,1.25485,1.25583,1.2563,0.00029,0.00029,0.00035,1.25574,1.2555365268806713,1.25589,1.2555365268806713,,,,,,1.0,buy lose,2022-06-06 13:07:00,1.25592,1.25532
2022-06-06 16:17:00,1.255,1.25511,1.25498,1.25498,48,0,0,1.2554,1.25539,1.25522,0.00023,0.00024,0.00024,1.25502,1.255130826385464,1.255130826385464,1.25498,1.0,sell break even,2022-06-06 16:58:00,1.25494,1.25559,,,,,
2022-06-06 18:13:00,1.25384,1.25408,1.25376,1.25406,114,0,0,1.25497,1.25489,1.25488,0.00038,0.00038,0.00028,1.25394,1.2542827202714286,1.2542827202714286,1.25376,1.0,sell break even,2022-06-06 18:59:00,1.25454,1.25536,,,,,
2022-06-06 19:02:00,1.25424,1.25427,1.25398,1.25412,101,0,0,1.2544,1.25412,1.25383,0.00028,0.00028,0.0003,1.25415,1.2543399374527917,1.2543399374527917,1.25398,1.0,sell break even,2022-06-06 19:58:00,1.25394,1.25462,,,,,
2022-06-07 09:54:00,1.24707,1.24721,1.24702,1.24704,64,0,0,1.24745,1.24652,1.24591,0.00037,0.00037,0.0003,1.24708,1.2472975041879144,1.2472975041879144,1.24702,1.0,sell break even,2022-06-07 10:00:00,1.2473800000000002,1.2477800000000001,,,,,
2022-06-08 09:56:00,1.25729,1.25741,1.25712,1.2573,58,0,0,1.25707,1.25709,1.25726,0.00034,0.00033,0.0002,1.25728,1.2571434476718415,1.25741,1.25712,,,,,,1.0,buy lose,2022-06-08 10:00:00,1.25744,1.25678
2022-06-08 12:45:00,1.25378,1.25383,1.25353,1.25362,90,0,0,1.25428,1.25356,1.25309,0.00027,0.00026,0.00032,1.25369,1.2538691913656073,1.2538691913656073,1.25353,1.0,sell break even,2022-06-08 13:04:00,1.25349,1.25418,,,,,
2022-06-08 13:17:00,1.25384,1.25385,1.25371,1.25374,70,0,0,1.25409,1.25356,1.25343,0.00027,0.00029,0.00031,1.25379,1.2538758150381826,1.2538758150381826,1.25371,1.0,sell break even,2022-06-08 13:39:00,1.25367,1.25413,,,,,
2022-06-08 15:50:00,1.25374,1.25375,1.25358,1.25362,93,0,0,1.25415,1.25404,1.25373,0.00032,0.00032,0.00028,1.25367,1.2538740659740744,1.2538740659740744,1.25358,1.0,sell win_3,2022-06-08 15:54:00,1.2538999999999998,1.25426,,,,,
2022-06-08 17:20:00,1.25471,1.25481,1.25446,1.25481,116,0,0,1.2545,1.25465,1.25496,0.00038,0.00038,0.00032,1.2547,1.254513335968666,1.25481,1.25446,,,,,,1.0,buy break even,2022-06-08 17:21:00,1.25484,1.2542
2022-06-08 17:21:00,1.25482,1.25548,1.25478,1.25542,133,0,0,1.2545,1.25467,1.25498,0.0004,0.00038,0.00032,1.25512,1.254606667984333,1.25548,1.254606667984333,,,,,,1.0,buy lose,2022-06-08 17:37:00,1.254855,1.2542
2022-06-09 10:13:00,1.25251,1.25256,1.25208,1.2522,88,0,0,1.25231,1.252,1.25177,0.00033,0.00033,0.00021,1.25234,1.2526232300724858,1.2526232300724858,1.25208,1.0,sell win_3,2022-06-09 10:28:00,1.2524950000000001,1.25295,,,,,
2022-06-09 10:28:00,1.25179,1.25187,1.2512,1.2512,65,0,0,1.25227,1.252,1.25187,0.00033,0.00031,0.00022,1.25152,1.2520346143563863,1.2520346143563863,1.2512,1.0,sell win_3,2022-06-09 10:42:00,1.251835,1.25251,,,,,
2022-06-09 16:30:00,1.25371,1.25426,1.25371,1.2541,151,0,0,1.25336,1.25356,1.25364,0.00052,0.00053,0.00039,1.25395,1.2535050161016157,1.25426,1.2535050161016157,,,,,,1.0,buy win_3,2022-06-09 16:39:00,1.253585,1.25288
2022-06-09 16:49:00,1.25427,1.25445,1.25399,1.2544,167,0,0,1.25355,1.2538,1.25405,0.00054,0.00055,0.00043,1.25428,1.2541081001186676,1.25445,1.25399,,,,,,1.0,buy win_3,2022-06-09 16:51:00,1.254,1.25352
2022-06-09 16:51:00,1.25494,1.25523,1.25483,1.25523,164,0,0,1.25358,1.25384,1.25413,0.00053,0.00054,0.00043,1.25506,1.254437025029667,1.25523,1.254437025029667,,,,,,1.0,buy break even,2022-06-09 17:08:00,1.25439,1.25352
