,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop
2022-05-02 15:57:00,1.05144,1.05146,1.05093,1.05098,138,0,0,1.05242,1.05236,1.05234,0.00024,0.0002,0.00019,1.0512,1.0520278428877403,1.0520278428877403,1.05093,,,,,,1.0,sell break even,2022-05-02 16:05:00,1.051775,1.0526499999999999
2022-05-02 19:55:00,1.05117,1.05123,1.05107,1.0512,82,0,0,1.05193,1.05187,1.05186,0.00025,0.00024,0.00026,1.05117,1.0514260594552185,1.0514260594552185,1.05107,,,,,,1.0,sell win_3,2022-05-02 19:59:00,1.051495,1.05195
2022-05-03 09:44:00,1.0507,1.0507,1.05027,1.05061,115,0,0,1.0509,1.05071,1.05057,0.00025,0.00024,0.00016,1.05057,1.0509430577076269,1.0509430577076269,1.05027,,,,,,1.0,sell win_3,2022-05-03 10:06:00,1.05076,1.05128
2022-05-03 16:51:00,1.05528,1.05541,1.05519,1.05537,125,0,0,1.05449,1.05536,1.05582,0.00029,0.00029,0.00029,1.05531,1.05511368763755,1.05541,1.05511368763755,1.0,buy lose,2022-05-03 17:03:00,1.05544,1.05483,,,,,
2022-05-04 09:48:00,1.05117,1.05121,1.05076,1.05091,111,0,0,1.05168,1.05159,1.05157,0.0002,0.00018,0.00012,1.05101,1.0513059235831836,1.0513059235831836,1.05076,,,,,,1.0,sell lose,2022-05-04 10:00:00,1.05119,1.05165
2022-05-05 14:02:00,1.05955,1.05955,1.05913,1.05914,163,0,0,1.0598,1.05971,1.05961,0.00029,0.00026,0.00027,1.05934,1.0597549756670106,1.0597549756670106,1.05913,,,,,,1.0,sell win_3,2022-05-05 14:14:00,1.059755,1.06041
2022-05-05 16:29:00,1.05607,1.05613,1.05594,1.05602,118,0,0,1.05688,1.0562,1.05577,0.00033,0.00034,0.00034,1.05604,1.0562981752465053,1.0562981752465053,1.05594,,,,,,1.0,sell win_3,2022-05-05 16:32:00,1.05627,1.05663
2022-05-05 16:32:00,1.05562,1.05563,1.05515,1.05525,163,0,0,1.05684,1.05617,1.05575,0.00033,0.00033,0.00034,1.05541,1.0559222719058132,1.0559222719058132,1.05515,,,,,,1.0,sell break even,2022-05-05 16:41:00,1.0558,1.0564799999999999
2022-05-05 16:45:00,1.05544,1.05558,1.05515,1.05516,164,0,0,1.05667,1.05602,1.05563,0.00036,0.00036,0.00035,1.05533,1.0557474526699104,1.0557474526699104,1.05515,,,,,,1.0,sell win_3,2022-05-05 16:50:00,1.05564,1.05616
2022-05-05 17:01:00,1.05474,1.05515,1.05449,1.05504,220,0,0,1.05643,1.05579,1.05538,0.00049,0.00045,0.00036,1.05485,1.0553677257912089,1.0553677257912089,1.05449,,,,,,1.0,sell break even,2022-05-05 17:10:00,1.055155,1.05585
